"Pressure [atm]", "Temperature [K]",        "Fluid", "Quantity", "Value", "Uncertainty percent", "Preferred?",
1.0,                          80.00, "_gaseous_air",       "mu",  5.5200,                   2.0,            1,
1.0,                          90.00, "_gaseous_air",       "mu",  6.3500,                   2.0,            1,
1.0,                         100.00, "_gaseous_air",       "mu",  7.0600,                   2.0,            1,
1.0,                         110.00, "_gaseous_air",       "mu",  7.7500,                   2.0,            1,
1.0,                         120.00, "_gaseous_air",       "mu",  8.4300,                   2.0,            1,
1.0,                         130.00, "_gaseous_air",       "mu",  9.0900,                   2.0,            1,
1.0,                         140.00, "_gaseous_air",       "mu",  9.7400,                   2.0,            1,
1.0,                         150.00, "_gaseous_air",       "mu", 10.3800,                   2.0,            1,
1.0,                         160.00, "_gaseous_air",       "mu", 11.0000,                   2.0,            1,
1.0,                         170.00, "_gaseous_air",       "mu", 11.6100,                   2.0,            1,
1.0,                         180.00, "_gaseous_air",       "mu", 12.2000,                   2.0,            1,
1.0,                         190.00, "_gaseous_air",       "mu", 12.7900,                   2.0,            1,
1.0,                         200.00, "_gaseous_air",       "mu", 13.3600,                   2.0,            1,
1.0,                         210.00, "_gaseous_air",       "mu", 13.9200,                   2.0,            1,
1.0,                         220.00, "_gaseous_air",       "mu", 14.4700,                   2.0,            1,
1.0,                         230.00, "_gaseous_air",       "mu", 15.0100,                   2.0,            1,
1.0,                         240.00, "_gaseous_air",       "mu", 15.5400,                   2.0,            1,
1.0,                         250.00, "_gaseous_air",       "mu", 16.0600,                   2.0,            1,
1.0,                         260.00, "_gaseous_air",       "mu", 16.5700,                   2.0,            1,
1.0,                         270.00, "_gaseous_air",       "mu", 17.0700,                   2.0,            1,
1.0,                         280.00, "_gaseous_air",       "mu", 17.5700,                   2.0,            1,
1.0,                         290.00, "_gaseous_air",       "mu", 18.0500,                   2.0,            1,
1.0,                         300.00, "_gaseous_air",       "mu", 18.5300,                   2.0,            1,
1.0,                         310.00, "_gaseous_air",       "mu", 19.0000,                   2.0,            1,
1.0,                         320.00, "_gaseous_air",       "mu", 19.4600,                   2.0,            1,
1.0,                         330.00, "_gaseous_air",       "mu", 19.9200,                   2.0,            1,
1.0,                         340.00, "_gaseous_air",       "mu", 20.3700,                   2.0,            1,
