"Pressure [atm]", "Temperature [K]", "Fluid", "Quantity", "Normalized value",
1.0,                          540.0,  "_air",       "mu",             1.6400,
1.0,                          550.0,  "_air",       "mu",             1.6600,
1.0,                          560.0,  "_air",       "mu",             1.6800,
1.0,                          570.0,  "_air",       "mu",             1.7000,
1.0,                          580.0,  "_air",       "mu",             1.7200,
1.0,                          590.0,  "_air",       "mu",             1.7390,
1.0,                          600.0,  "_air",       "mu",             1.7580,
1.0,                          610.0,  "_air",       "mu",             1.7770,
1.0,                          620.0,  "_air",       "mu",             1.7960,
1.0,                          630.0,  "_air",       "mu",             1.8150,
1.0,                          640.0,  "_air",       "mu",             1.8340,
1.0,                          650.0,  "_air",       "mu",             1.8520,
1.0,                          660.0,  "_air",       "mu",             1.8700,
1.0,                          670.0,  "_air",       "mu",             1.8880,
1.0,                          680.0,  "_air",       "mu",             1.9060,
1.0,                          690.0,  "_air",       "mu",             1.9240,
1.0,                          700.0,  "_air",       "mu",             1.9429,
1.0,                          710.0,  "_air",       "mu",             1.9590,
1.0,                          720.0,  "_air",       "mu",             1.9770,
1.0,                          730.0,  "_air",       "mu",             1.9940,
1.0,                          740.0,  "_air",       "mu",             2.0120,
1.0,                          750.0,  "_air",       "mu",             2.0290,
1.0,                          760.0,  "_air",       "mu",             2.0460,
1.0,                          770.0,  "_air",       "mu",             2.0630,
1.0,                          780.0,  "_air",       "mu",             2.0800,
1.0,                          790.0,  "_air",       "mu",             2.0960,
1.0,                          800.0,  "_air",       "mu",             2.1120,
1.0,                          810.0,  "_air",       "mu",             2.1280,
1.0,                          820.0,  "_air",       "mu",             2.1450,
1.0,                          830.0,  "_air",       "mu",             2.1610,
1.0,                          840.0,  "_air",       "mu",             2.1770,
1.0,                          850.0,  "_air",       "mu",             2.1930,
1.0,                          860.0,  "_air",       "mu",             2.2090,
1.0,                          870.0,  "_air",       "mu",             2.2250,
1.0,                          880.0,  "_air",       "mu",             2.2400,
1.0,                          890.0,  "_air",       "mu",             2.2560,
1.0,                          900.0,  "_air",       "mu",             2.2710,
1.0,                          910.0,  "_air",       "mu",             2.2860,
1.0,                          920.0,  "_air",       "mu",             2.3010,
1.0,                          930.0,  "_air",       "mu",             2.3160,
1.0,                          940.0,  "_air",       "mu",             2.3310,
1.0,                          950.0,  "_air",       "mu",             2.3460,
1.0,                          960.0,  "_air",       "mu",             2.3620,
1.0,                          970.0,  "_air",       "mu",             2.3770,
1.0,                          980.0,  "_air",       "mu",             2.3910,
1.0,                          990.0,  "_air",       "mu",             2.4060,
1.0,                         1000.0,  "_air",       "mu",             2.4200,
1.0,                         1010.0,  "_air",       "mu",             2.4350,
1.0,                         1020.0,  "_air",       "mu",             2.4500,
1.0,                         1030.0,  "_air",       "mu",             2.4640,
1.0,                         1040.0,  "_air",       "mu",             2.4780,
1.0,                         1050.0,  "_air",       "mu",             2.4920,
1.0,                         1060.0,  "_air",       "mu",             2.5060,
1.0,                         1070.0,  "_air",       "mu",             2.5200,
1.0,                         1080.0,  "_air",       "mu",             2.5340,
1.0,                         1090.0,  "_air",       "mu",             2.5480,
1.0,                         1100.0,  "_air",       "mu",             2.5620,
1.0,                         1110.0,  "_air",       "mu",             2.5760,
1.0,                         1120.0,  "_air",       "mu",             2.5890,
