"Radius", "Velocity",
    0.00,     1525.0,
    0.45,     1505.0,
    0.70,     1475.0,
    0.96,     1440.0,
    1.21,     1395.0,
    1.47,     1346.0,
    1.72,     1278.0,
    1.97,     1202.0,
    2.10,     1149.0,
    2.23,     1084.0,
    2.28,     1049.0,
    2.32,     1025.0,
    2.35,      984.0,
    2.38,      957.0,
    2.41,      908.0,
    2.43,      814.0,
    2.44,      592.0,
