"Radius", "Velocity",
   0.000,     1017.0,
   1.245,      976.0,
   2.510,      862.0,
   3.150,      770.0,
   3.340,      720.0,
   3.420,      700.0,
   3.475,      680.0,
   3.530,      652.0,
   3.570,      629.0,
   3.610,      592.0,
   3.650,      516.0,
   3.670,      392.0,
