"Radius", "Velocity",
   0.000,     2210.0,
   0.661,     2172.0,
   0.917,     2132.0,
   1.170,     2081.0,
   1.420,     2038.0,
   1.680,     1986.0,
   1.920,     1914.0,
   2.180,     1842.0,
   2.440,     1762.0,
   2.710,     1674.0,
   2.950,     1553.0,
   3.200,     1400.0,
   3.330,     1311.0,
   3.460,     1162.0,
   3.485,     1137.0,
   3.520,     1074.0,
   3.560,     1000.0,
   3.580,      946.0,
   3.610,      887.0,
   3.635,      811.0,
   3.650,      780.0,
