"Radius", "Velocity",
   0.000,     2215.0,
   1.245,     2120.0,
   2.510,     1892.0,
   3.150,     1693.0,
   3.340,     1605.0,
   3.420,     1556.0,
   3.475,     1510.0,
   3.530,     1453.0,
   3.570,     1407.0,
   3.610,     1344.0,
   3.650,     1248.0,
   3.670,     1098.0,
