"Test no.", "Nozzle throat diameter", "Temperature", "Pressure", "Density", "Mean velocity", "Hydraulic diameter", "Pressure gradient", "h_f/(L/D)", "0.5*V^2/g",  "R_e",    "f",
         2,                      9.0,          73.0,      12.71,    0.0694,          9310.0,                 8.02,             0.10110,      5.0700,      374.00, 5.89e5, 0.0136,
         3,                      9.0,          74.0,       7.60,    0.0697,          7380.0,                 8.02,             0.06530,      3.2600,      235.00, 4.69e5, 0.0139,
         4,                      6.0,          71.0,       7.17,    0.0695,          4990.0,                 8.02,             0.03130,      1.5700,      107.00, 3.18e5, 0.0146,
         5,                      6.0,          72.0,       3.69,    0.0701,          3350.0,                 8.02,             0.01550,      0.7690,       49.00, 2.14e5, 0.0154, 
         6,                      4.0,          69.0,       4.51,    0.0707,          2070.0,                 8.02,             0.00636,      0.3130,       18.40, 1.34e5, 0.0170,
         7,                      4.0,          70.0,       2.41,    0.0710,          1500.0,                 8.02,             0.00364,      0.1790,        9.73, 9.78e4, 0.0183,
         8,                      4.0,          70.0,       1.24,    0.0711,          1080.0,                 8.02,             0.00204,      0.0998,        5.04, 7.06e4, 0.0198,
         9,                      4.0,          70.0,       0.59,    0.0712,           749.0,                 8.02,             0.00103,      0.0502,        2.42, 4.87e4, 0.0207,
        10,                      4.0,          70.0,       2.24,    0.0720,          1310.0,                 8.02,             0.00276,      0.1330,        7.41, 8.64e4, 0.0180,
