"Run number", "Test number", "Diameter [in]", "Time after valve setting [min]", "Temperature [°F]", "Average pressure in test section [mmHg]", "Pressure in test section at impact tube [mmHg]", "Average velocity [ft/s]", "Length [in]", "Pressure drop [inH2O]", "Corrected head [inH2O]", "Maximum velocity (ft/s)", "Reynolds number", "Fanning friction factor", "Ratio of average-to-maximum velocity", "Outlier", "Profile data",
51,                       4,           0.750,                               "",               77.5,                                     740.9,                                               "",                     2.670,        120.00,                  0.0161,                       "",                        "",             968.0,                  0.016340,                                     "",         0,              0,
51,                       5,           0.750,                               "",               77.5,                                     740.9,                                               "",                     2.670,         48.00,                  0.0066,                       "",                        "",             968.0,                  0.016740,                                     "",         0,              0,
51,                       6,           0.750,                               "",               77.5,                                     740.6,                                            740.6,                     1.931,        168.00,                  0.0165,                 0.003220,                     3.861,             700.0,                  0.022890,                               0.500130,         0,              0,
51,                       7,           0.750,                               "",               77.5,                                     741.6,                                            741.6,                     4.075,        168.00,                  0.0352,                 0.001400,                     8.045,            1479.0,                  0.010940,                               0.506526,         0,              0,
53,                       1,           0.750,                               "",               77.5,                                     741.3,                                            741.3,                     3.595,        168.00,                  0.0308,                 0.011350,                     7.245,            1305.0,                  0.012300,                               0.496204,         0,              0,
53,                       2,           0.750,                               "",               77.5,                                     741.8,                                            741.8,                     4.415,        168.00,                  0.0406,                 0.017500,                     8.994,            1603.0,                  0.010750,                               0.490883,         0,              0,
53,                       3,           0.750,                               "",               77.5,                                     742.4,                                            742.4,                     5.390,        168.00,                  0.0474,                 0.024910,                    10.720,            1959.0,                  0.008409,                               0.502799,         0,              0,
53,                       4,           0.750,                               "",               77.5,                                     742.8,                                            742.8,                     7.431,        168.00,                  0.1148,                 0.024810,                    10.700,            2702.0,                  0.010670,                               0.694486,         0,              0,
53,                       5,           0.750,                               "",               77.5,                                     744.5,                                            744.5,                     9.995,        168.00,                  0.2030,                 0.039240,                    13.440,            3643.0,                  0.010440,                               0.743676,         0,              0,
53,                       6,           0.750,                               "",               77.5,                                     746.5,                                            746.4,                    12.410,        168.00,                  0.2971,                 0.058500,                    16.390,            4536.0,                  0.009887,                               0.757169,         0,              0,
53,                       7,           0.750,                               "",               77.5,                                     749.1,                                            749.1,                    15.300,        168.00,                  0.4285,                 0.088200,                    20.090,            5609.0,                  0.009358,                               0.761573,         0,              0,
55,                       1,           0.750,                               "",               77.5,                                     735.6,                                            735.6,                     4.812,        168.00,                  0.0443,                 0.019940,                     9.641,            1731.0,                  0.009954,                               0.499118,         0,              0,
55,                       2,           0.750,                               "",               77.5,                                     736.1,                                            736.1,                     5.910,        168.00,                  0.0594,                 0.029110,                    11.640,            2128.0,                  0.008839,                               0.507732,         0,              0,
55,                       4,           0.750,                               "",               77.5,                                     737.4,                                            737.4,                     8.289,        168.00,                  0.1424,                 0.029920,                    11.790,            2989.0,                  0.010760,                               0.703053,         0,              0,
55,                       5,           0.750,                               "",               77.5,                                     736.5,                                            736.5,                     6.795,        168.00,                  0.0871,                 0.024770,                    10.740,            2448.0,                  0.009799,                               0.632682,         0,              0,
57,                       1,           0.750,                               "",               77.0,                                     733.3,                                            733.3,                     7.703,        168.00,                  0.1224,                 0.025690,                    10.950,            2768.0,                  0.010750,                               0.703470,         0,              0,
57,                       2,           0.750,                               "",               77.0,                                     733.1,                                            733.0,                     7.083,        168.00,                  0.0966,                 0.024680,                    10.740,            2545.0,                  0.010250,                               0.659497,         0,              0,
57,                       3,           0.750,                               "",               77.0,                                     732.9,                                            732.8,                     6.535,        168.00,                  0.0804,                 0.028310,                    11.510,            2347.0,                  0.009833,                               0.567767,         0,              0,
57,                       4,           0.750,                               "",               77.0,                                     732.5,                                            732.5,                     6.089,        168.00,                  0.0621,                 0.028990,                    11.640,            2186.0,                  0.008737,                               0.523110,         0,              0,
59,                       1,           0.750,                               "",               76.0,                                     734.1,                                            734.1,                     6.258,        168.00,                  0.0650,                 0.031100,                    12.040,            2259.0,                  0.008625,                               0.519767,         0,              0,
59,                       2,           0.750,                               "",               76.0,                                     733.8,                                            733.9,                     5.649,        168.00,                  0.0525,                 0.027090,                    11.230,            2038.0,                  0.008547,                               0.503028,         0,              0,
59,                       3,           0.750,                               "",               76.0,                                     733.7,                                            733.8,                     5.380,        168.00,                  0.0490,                 0.024630,                    10.710,            1941.0,                  0.008800,                               0.502334,         0,              0,
59,                       4,           0.750,                               "",               76.0,                                     733.6,                                            733.6,                     5.118,        168.00,                  0.0455,                 0.021980,                    10.120,            1846.0,                  0.009036,                               0.505731,         0,              0,
59,                       5,           0.750,                               "",               76.0,                                     740.2,                                            740.1,                    14.350,        168.00,                  0.3711,                 0.078870,                    19.020,            5221.0,                  0.009296,                               0.754469,         0,              0,
59,                       6,           0.750,                               "",               76.0,                                     735.0,                                            736.0,                     9.240,        168.00,                  0.1695,                 0.033930,                    12.550,            3344.0,                  0.010290,                               0.736255,         0,              0,
61,                       1,           0.750,                               "",               77.5,                                     736.9,                                            737.3,                     6.882,        168.00,                  0.0898,                 0.026800,                    11.160,            2482.0,                  0.009842,                               0.616667,         0,              0,
61,                       2,           0.750,                               "",               77.5,                                     736.8,                                            737.2,                     6.681,        168.00,                  0.0816,                 0.026270,                    11.050,            2407.0,                  0.009509,                               0.604615,         0,              0,
61,                       3,           0.750,                               "",               77.5,                                     723.9,                                            746.8,                    18.080,        168.00,                  0.5690,                 0.120800,                    23.550,            6604.0,                  0.008916,                               0.767728,         0,              0,
63,                       1,           0.750,                               "",               78.5,                                     734.7,                                            734.7,                    11.400,        168.00,                  0.2457,                 0.049400,                    15.200,            4085.0,                  0.009870,                               0.750000,         0,              1,
65,                       1,           0.750,                               "",               78.5,                                     735.8,                                            735.8,                     8.528,        168.00,                  0.1457,                 0.030450,                    11.920,            3062.0,                  0.010430,                               0.715436,         0,              1,
67,                       1,           0.750,                               "",               77.5,                                     740.5,                                            740.6,                     3.080,        168.00,                  0.0275,                 0.008308,                     6.202,            1116.0,                  0.014980,                               0.496614,         0,              1,
69,                       1,           0.750,                               "",               76.0,                                     741.4,                                            741.4,                     5.486,        168.00,                  0.0497,                 0.025530,                    10.850,            1993.0,                  0.008499,                               0.505622,         0,              1,
71,                       1,           0.750,                               "",               77.0,                                     743.0,                                            743.0,                     7.007,        168.00,                  0.0956,                 0.024510,                    10.630,            2560.0,                  0.010020,                               0.659172,         0,              1,
73,                       1,           0.750,                               "",               76.5,                                     744.2,                                            744.2,                     5.785,        168.00,                  0.0542,                 0.027400,                    11.250,            2113.0,                  0.008314,                               0.514222,         0,              1,
75,                       1,           0.750,                               "",               75.0,                                     743.7,                                            743.7,                     4.474,        168.00,                  0.0406,                 0.017320,                     8.916,            1641.0,                  0.010330,                               0.501795,         0,              1,
