"Reynolds number", "Strouhal number",
             49.0,            0.1183,
             49.3,            0.1189,
             51.2,            0.1226,
             52.9,            0.1243,
             55.2,            0.1280,
             57.1,            0.1307,
             59.1,            0.1333,
             61.2,            0.1351,
             63.0,            0.1368,
             65.0,            0.1389,
             66.9,            0.1369,
             69.5,            0.1395,
             72.4,            0.1416,
             75.1,            0.1438,
             77.8,            0.1463,
             80.1,            0.1481,
             82.6,            0.1497,
             85.2,            0.1514,
             87.5,            0.1529,
             90.1,            0.1547,
             92.8,            0.1561,
             95.1,            0.1577,
             97.7,            0.1591,
            100.1,            0.1604,
            102.6,            0.1617,
            104.9,            0.1629,
            107.3,            0.1644,
            110.1,            0.1655,
            112.3,            0.1668,
            115.1,            0.1680,
            117.7,            0.1691,
            120.2,            0.1701,
            122.3,            0.1711,
            125.2,            0.1723,
            127.4,            0.1731,
            130.1,            0.1740,
            132.5,            0.1749,
            135.0,            0.1758,
            137.6,            0.1765,
            139.8,            0.1770,
            142.6,            0.1776,
            145.3,            0.1785,
            147.5,            0.1792,
            149.9,            0.1798,
            152.5,            0.1804,
            155.2,            0.1809,
            157.6,            0.1816,
            160.2,            0.1822,
            162.8,            0.1829,
            165.0,            0.1834,
            167.6,            0.1841,
            170.0,            0.1847,
            172.3,            0.1853,
            174.4,            0.1856,
            175.0,            0.1858,
            176.1,            0.1860,
            177.9,            0.1865,
