"Wall-normal coordinate", "Streamwise velocity",
0.0025,                                    8.85,
0.0067,                                    6.90,
0.0110,                                    6.15,
0.0152,                                    5.75,
0.0194,                                    5.40,
0.0236,                                    5.05,
0.0279,                                    4.84,
0.0321,                                    4.67,
0.0363,                                    4.52,
0.0406,                                    4.35,
0.0448,                                    4.20,
0.0490,                                    4.00,
0.0533,                                    3.82,
0.0575,                                    3.70,
0.0617,                                    3.57,
0.0660,                                    3.33,
0.0703,                                    3.20,
0.0744,                                    3.13,
0.0786,                                    2.97,
0.0871,                                    2.90,
0.0956,                                    2.58,
0.1040,                                    2.40,
0.1125,                                    2.20,
0.1209,                                    2.05,
0.1294,                                    1.60,
0.1379,                                    1.60,
0.1463,                                    1.40,
0.1548,                                    1.20,
0.1632,                                    1.20,
0.1717,                                    0.92,
0.1802,                                    0.65,
0.1886,                                    0.65,
