"Wall-normal coordinate", "Streamwise velocity",
0.0000,                                   16.00,
0.0025,                                    8.68,
0.0067,                                    7.08,
0.0110,                                    6.42,
0.0152,                                    6.08,
0.0194,                                    5.93,
0.0236,                                    5.60,
0.0279,                                    5.40,
0.0321,                                    5.22,
0.0363,                                    4.93,
0.0406,                                    4.70,
0.0448,                                    4.60,
0.0490,                                    4.60,
0.0533,                                    4.46,
0.0575,                                    4.40,
0.0617,                                    4.20,
0.0660,                                    4.10,
0.0702,                                    4.05,
0.0744,                                    3.87,
0.0786,                                    3.82,
0.0829,                                    3.65,
0.0871,                                    3.58,
0.0956,                                    3.52,
0.1040,                                    3.38,
0.1125,                                    3.25,
0.1209,                                    3.07,
0.1294,                                    2.75,
0.1379,                                    2.67,
0.1463,                                    2.60,
0.1548,                                    2.47,
0.1632,                                    2.25,
0.1717,                                    2.25,
0.1802,                                    2.15,
0.1886,                                    2.05,
0.1971,                                    1.90,
0.2055,                                    1.90,
0.2140,                                    1.75,
0.2225,                                    1.60,
0.2309,                                    1.60,
0.2394,                                    1.45,
0.2478,                                    1.22,
0.2563,                                    1.22,
0.2648,                                    0.90,
0.2732,                                    0.90,
0.2817,                                    0.75,
0.2901,                                    0.55,
0.2986,                                    0.55,
