"Wall-normal coordinate", "Streamwise velocity",
0.0025,                                    9.15,
0.0067,                                    7.37,
0.0110,                                    6.64,
0.0152,                                    6.15,
0.0194,                                    5.80,
0.0237,                                    5.60,
0.0279,                                    5.61,
0.0321,                                    5.02,
0.0363,                                    4.88,
0.0406,                                    4.83,
0.0448,                                    4.83,
0.0490,                                    4.56,
0.0533,                                    4.50,
0.0575,                                    4.32,
0.0617,                                    4.20,
0.0660,                                    4.20,
0.0702,                                    4.10
0.0744,                                    4.05,
0.0786,                                    3.98,
0.0829,                                    3.82,
0.0871,                                    3.82,
0.0956,                                    3.70,
0.1040,                                    3.65,
0.1125,                                    3.25,
0.1209,                                    3.12,
0.1294,                                    3.12,
0.1379,                                    2.90,
0.1463,                                    2.82,
0.1548,                                    2.74,
0.1632,                                    2.45,
0.1717,                                    2.60,
0.1802,                                    2.45,
0.1886,                                    2.25,
0.1971,                                    2.25,
0.2055,                                    2.05,
0.2140,                                    2.05,
0.2225,                                    1.87,
0.2309,                                    1.75,
0.2394,                                    1.60,
0.2478,                                    1.60,
0.2563,                                    1.60,
0.2732,                                    1.35,
0.2901,                                    1.20,
0.3071,                                    0.92,
0.3240,                                    0.92,
0.3409,                                    0.65,
