"Wall-normal coordinate", "Streamwise velocity",
0.0025,                                    9.00,
0.0067,                                    7.29,
0.0110,                                    6.60,
0.0152,                                    6.23,
0.0194,                                    5.94,
0.0237,                                    5.68,
0.0279,                                    5.53,
0.0321,                                    5.12,
0.0363,                                    4.98,
0.0406,                                    4.95,
0.0448,                                    4.78,
0.0490,                                    4.67,
0.0533,                                    4.44,
0.0575,                                    4.30,
0.0617,                                    4.19,
0.0660,                                    4.19,
0.0702,                                    3.97,
0.0744,                                    3.91,
0.0786,                                    3.67,
0.0829,                                    3.63,
0.0871,                                    3.56,
0.0956,                                    3.50,
0.1040,                                    3.30,
0.1125,                                    3.23,
0.1209,                                    3.10,
0.1294,                                    3.05,
0.1379,                                    3.05,
0.1463,                                    2.90,
0.1548,                                    2.64,
0.1632,                                    2.47,
0.1717,                                    2.47,
0.1802,                                    2.47,
0.1886,                                    2.25,
0.1971,                                    2.04,
0.2055,                                    2.04,
0.2140,                                    1.88,
0.2225,                                    1.75,
0.2309,                                    1.60,
0.2394,                                    1.43,
0.2478,                                    1.43,
0.2563,                                    1.43,
0.2648,                                    1.20,
0.2732,                                    1.20,
0.2817,                                    1.20,
0.2901,                                    0.90,
0.2986,                                    0.90,
0.3071,                                    0.55,
