"Wall-normal coordinate", "Streamwise velocity",
0.0000,                                   16.00,
0.0025,                                    8.46,
0.0067,                                    7.11,
0.0110,                                    6.31,
0.0152,                                    5.99,
0.0194,                                    5.70,
0.0236,                                    5.42,
0.0279,                                    5.19,
0.0321,                                    4.95,
0.0363,                                    4.88,
0.0406,                                    4.67,
0.0448,                                    4.52,
0.0490,                                    4.42,
0.0533,                                    4.38,
0.0575,                                    4.22,
0.0617,                                    4.12,
0.0660,                                    3.95,
0.0702,                                    3.90,
0.0744,                                    3.80,
0.0786,                                    3.48,
0.0871,                                    3.22,
0.0956,                                    3.08,
0.1040,                                    2.93,
0.1125,                                    2.81,
0.1209,                                    2.70,
0.1294,                                    2.63,
0.1379,                                    2.45,
0.1463,                                    2.35,
0.1548,                                    2.25,
0.1632,                                    2.13,
0.1717,                                    1.90,
0.1802,                                    1.90,
0.1886,                                    1.43,
0.1971,                                    1.58,
0.2055,                                    1.20,
0.2140,                                    1.20,
0.2225,                                    1.20,
0.2309,                                    1.20,
0.2394,                                    1.20,
0.2478,                                    0.87,
0.2563,                                    0.87,
0.2648,                                    0.50,
