"y", "y+", "Y+ch", "Y+hw", "Y+tl", "<u>", "<u>_f", "u+", "U+vd", "U+vs", "U+tl", "<rho>", "<P>", "<T>", "<T>_f", "mu", "<u''u''>_f", "<v''v''>_f", "<w''w''>_f", "<u''v''>_f", "<rho*u''u''>/tau_w", "<rho*v''v''>/tau_w", "<rho*w''w''>/tau_w", "<rho*u''v''>/tau_w", "<rho'rho'>", "<P'P'>", "<T''T''>_f", "<T''v''>_f",
+0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +1.45867405e+00, +3.60584226e-01, +1.00000000e+00, +1.00000000e+00, +6.45160000e-05, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00,
+8.92983400e-04, +8.67700212e-01, +8.58259622e-01, +8.57395050e-01, +8.38677527e-01, +3.68130260e-02, +3.66694019e-02, +8.56576240e-01, +8.51459146e-01, +8.66103105e-01, +8.37133840e-01, +1.42402644e+00, +3.62453449e-01, +1.02976817e+00, +1.02964080e+00, +6.59510976e-05, +2.31100903e-04, +9.13308288e-08, +6.30352402e-05, -1.21637492e-06, +1.22149150e-01, +4.82732130e-05, +3.33174856e-02, -6.42919003e-04, +8.38292208e-04, +4.10750302e-05, +1.53404700e-04, -8.79466635e-07,
+2.69631710e-03, +2.61997582e+00, +2.54076561e+00, +2.52674998e+00, +2.37925010e+00, +1.08320418e-01, +1.07173334e-01, +2.52043112e+00, +2.47534443e+00, +2.59956721e+00, +2.36116764e+00, +1.35526776e+00, +3.62448884e-01, +1.08273166e+00, +1.08186564e+00, +6.84791003e-05, +1.87431069e-03, +2.27394707e-06, +3.65839596e-04, -2.25852809e-05, +9.42838798e-01, +1.14386880e-03, +1.84029130e-01, -1.13611256e-02, +1.93076193e-03, +4.08987714e-05, +9.86922007e-04, -1.48548353e-05,
+4.52302160e-03, +4.39496053e+00, +4.18707393e+00, +4.14253425e+00, +3.78820488e+00, +1.76429977e-01, +1.73869636e-01, +4.10522424e+00, +3.98731659e+00, +4.30865337e+00, +3.71781319e+00, +1.30041999e+00, +3.62435139e-01, +1.12922110e+00, +1.12745302e+00, +7.06726936e-05, +4.60198330e-03, +1.13326574e-05, +7.54624502e-04, -8.76454325e-05, +2.22126018e+00, +5.46998523e-03, +3.64238036e-01, -4.23042190e-02, +3.03925367e-03, +4.10703011e-05, +2.05630348e-03, -5.37675066e-05,
+6.37335610e-03, +6.19290620e+00, +5.80699716e+00, +5.71810708e+00, +5.10943263e+00, +2.40327632e-01, +2.36344679e-01, +5.59201354e+00, +5.37907571e+00, +5.95912214e+00, +4.93066693e+00, +1.25610577e+00, +3.62408286e-01, +1.16969990e+00, +1.16714232e+00, +7.25643375e-05, +7.85497803e-03, +3.13234140e-05, +1.14890494e-03, -2.03938114e-04, +3.66219899e+00, +1.46038060e-02, +5.35649942e-01, -9.50813551e-02, +3.81997540e-03, +4.12676951e-05, +3.05024971e-03, -1.18388722e-04,
+8.24758160e-03, +8.01406645e+00, +7.40850229e+00, +7.26386283e+00, +6.37424837e+00, +2.99177143e-01, +2.93990030e-01, +6.96134113e+00, +6.64059012e+00, +7.51644990e+00, +6.01224813e+00, +1.22006711e+00, +3.62367662e-01, +1.20461698e+00, +1.20148320e+00, +7.41829539e-05, +1.11214755e-02, +6.47647153e-05, +1.52615921e-03, -3.62535717e-04, +5.03636138e+00, +2.93287084e-02, +6.91121365e-01, -1.64174339e-01, +4.25430927e-03, +4.17958411e-05, +3.82897075e-03, -2.01641350e-04,
+1.01459605e-02, +9.85869623e+00, +8.99814291e+00, +8.78812964e+00, +7.60511145e+00, +3.52510332e-01, +3.46421717e-01, +8.20231336e+00, +7.76864400e+00, +8.95660417e+00, +6.97321750e+00, +1.19061547e+00, +3.62312412e-01, +1.23450858e+00, +1.23101614e+00, +7.55593070e-05, +1.40557870e-02, +1.11977145e-04, +1.88095211e-03, -5.46811934e-04, +6.21151362e+00, +4.94847824e-02, +8.31227711e-01, -2.41646361e-01, +4.41608860e-03, +4.23288234e-05, +4.36029475e-03, -2.93802475e-04,
+1.20687570e-02, +1.17270523e+01, +1.05813113e+01, +1.02976524e+01, +8.81798602e+00, +4.00247981e-01, +3.93564387e-01, +9.31308691e+00, +8.76705608e+00, +1.02675463e+01, +7.82423749e+00, +1.16643169e+00, +3.62244340e-01, +1.25996955e+00, +1.25630300e+00, +7.67250913e-05, +1.64848193e-02, +1.73019089e-04, +2.21364709e-03, -7.40989046e-04, +7.13697633e+00, +7.49072900e-02, +9.58381559e-01, -3.20805535e-01, +4.39005672e-03, +4.31234449e-05, +4.66784126e-03, -3.86672573e-04,
+1.40162369e-02, +1.36193928e+01, +1.21624329e+01, +1.17979116e+01, +1.00240277e+01, +4.42612296e-01, +4.35596774e-01, +1.02988322e+01, +9.64475214e+00, +1.14473681e+01, +8.57617103e+00, +1.14645980e+00, +3.62163449e-01, +1.28160574e+00, +1.27790307e+00, +7.77111269e-05, +1.83618361e-02, +2.46497411e-04, +2.52383348e-03, -9.32128287e-04, +7.81350133e+00, +1.04891899e-01, +1.07396538e+00, -3.96648003e-01, +4.24676781e-03, +4.38868566e-05, +4.79634186e-03, -4.74015801e-04,
+1.59886673e-02, +1.55359775e+01, +1.37451336e+01, +1.32933674e+01, +1.12309707e+01, +4.80012623e-01, +4.72876674e-01, +1.11690739e+01, +1.04134573e+01, +1.25012247e+01, +9.23982278e+00, +1.12986294e+00, +3.62072588e-01, +1.29999038e+00, +1.29634926e+00, +7.85457114e-05, +1.97156125e-02, +3.31504511e-04, +2.81173090e-03, -1.11228112e-03, +8.26812045e+00, +1.39022778e-01, +1.17915331e+00, -4.66456431e-01, +4.03675885e-03, +4.48440639e-05, +4.79291591e-03, -5.52460064e-04,
