"y", "y+", "Y+ch", "Y+hw", "Y+tl", "<u>", "<u>_f", "u+", "U+vd", "U+vs", "U+tl", "<rho>", "<P>", "<T>", "<T>_f", "mu", "<u''u''>_f", "<v''v''>_f", "<w''w''>_f", "<u''v''>_f", "<rho*u''u''>/tau_w", "<rho*v''v''>/tau_w", "<rho*w''w''>/tau_w", "<rho*u''v''>/tau_w", "<rho'rho'>", "<P'P'>", "<T''T''>_f", "<T''v''>_f",
+0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +1.45100504e+00, +3.58688445e-01, +1.00000000e+00, +1.00000000e+00, +2.22222200e-04, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00,
+2.69631710e-03, +8.67153949e-01, +8.56390646e-01, +8.55008541e-01, +8.33699311e-01, +4.21014581e-02, +4.19247816e-02, +8.54778074e-01, +8.48749521e-01, +8.65657850e-01, +8.32260932e-01, +1.41035932e+00, +3.60471382e-01, +1.03408507e+00, +1.03393365e+00, +2.27879172e-04, +2.62248762e-04, +6.87061556e-08, +4.53767188e-05, -1.11541655e-06, +1.05071945e-01, +2.75276396e-05, +1.81805247e-02, -4.46900055e-04, +7.40956348e-04, +3.25755496e-05, +1.81107832e-04, -8.59322926e-07,
+8.24758160e-03, +2.65247843e+00, +2.56081297e+00, +2.54267622e+00, +2.37495422e+00, +1.24876015e-01, +1.23519976e-01, +2.53533451e+00, +2.48253377e+00, +2.62679493e+00, +2.35263508e+00, +1.33291152e+00, +3.60467517e-01, +1.09500771e+00, +1.09399908e+00, +2.37875800e-04, +2.17739611e-03, +1.60684715e-06, +2.73817809e-04, -2.15885355e-05, +8.24484166e-01, +6.08442363e-04, +1.03682764e-01, -8.17462911e-03, +1.96620696e-03, +3.23727639e-05, +1.16033161e-03, -1.43576719e-05,
+1.40162369e-02, +4.50771728e+00, +4.26326733e+00, +4.20758152e+00, +3.80217220e+00, +2.05467549e-01, +2.02438559e-01, +4.17156943e+00, +4.03245703e+00, +4.41045154e+00, +3.72478550e+00, +1.27137416e+00, +3.60456615e-01, +1.14895488e+00, +1.14691762e+00, +2.46612202e-04, +5.51806798e-03, +8.49314399e-06, +5.80952527e-04, -8.85433849e-05, +1.99298478e+00, +3.06750601e-03, +2.09825168e-01, -3.19796021e-02, +3.13514022e-03, +3.24394173e-05, +2.41036970e-03, -5.32064827e-05,
+2.00094566e-02, +6.43517756e+00, +5.97421503e+00, +5.86351509e+00, +5.16250236e+00, +2.83031526e-01, +2.78301231e-01, +5.74633644e+00, +5.49202255e+00, +6.18490428e+00, +4.97712860e+00, +1.22182164e+00, +3.60434314e-01, +1.19626249e+00, +1.19335926e+00, +2.54189239e-04, +9.73833026e-03, +2.50369358e-05, +9.05199976e-04, -2.17396187e-04, +3.38014915e+00, +8.69025540e-03, +3.14192561e-01, -7.54576522e-02, +3.88323477e-03, +3.25246220e-05, +3.54314526e-03, -1.19901012e-04,
+2.62345372e-02, +8.43720589e+00, +7.70263845e+00, +7.52164778e+00, +6.49049824e+00, +3.56422853e-01, +3.50253869e-01, +7.23638690e+00, +6.84802470e+00, +7.91110115e+00, +6.12215851e+00, +1.18169968e+00, +3.60398936e-01, +1.23723773e+00, +1.23375625e+00, +2.60691669e-04, +1.42212042e-02, +5.49234059e-05, +1.22699617e-03, -4.05936898e-04, +4.77405087e+00, +1.84377589e-02, +4.11901977e-01, -1.36272806e-01, +4.21307715e-03, +3.28960405e-05, +4.37280784e-03, -2.08184313e-04,
+3.26988893e-02, +1.05161856e+01, +9.45644642e+00, +9.19144024e+00, +7.81204230e+00, +4.24662166e-01, +4.17449430e-01, +8.62183698e+00, +8.08963815e+00, +9.55360655e+00, +7.16624917e+00, +1.14913338e+00, +3.60347884e-01, +1.27230946e+00, +1.26854088e+00, +2.66214592e-04, +1.84333247e-02, +1.00113560e-04, +1.54125729e-03, -6.38247762e-04, +6.01752170e+00, +3.26818700e-02, +5.03140338e-01, -2.08354696e-01, +4.22770459e-03, +3.33060261e-05, +4.85375936e-03, -3.07358776e-04,
+3.94100289e-02, +1.26745338e+01, +1.12426566e+01, +1.08810675e+01, +9.14650319e+00, +4.87119508e-01, +4.79282665e-01, +9.88989679e+00, +9.21157152e+00, +1.10859681e+01, +8.11367580e+00, +1.12265732e+00, +3.60281379e-01, +1.30203177e+00, +1.29821734e+00, +2.70865375e-04, +2.20141136e-02, +1.62221819e-04, +1.84759361e-03, -8.94320425e-04, +7.02088675e+00, +5.17368557e-02, +5.89246776e-01, -2.85222586e-01, +4.03774035e-03, +3.39652162e-05, +5.02254716e-03, -4.07238338e-04,
+4.63755662e-02, +1.49146980e+01, +1.30675043e+01, +1.25976496e+01, +1.05081689e+01, +5.43547861e-01, +5.35458445e-01, +1.10355511e+01, +1.02144328e+01, +1.24924332e+01, +8.96858422e+00, +1.10108075e+00, +3.60198065e-01, +1.32703859e+00, +1.32335036e+00, +2.74757774e-04, +2.47827195e-02, +2.41254573e-04, +2.14351217e-03, -1.15425758e-03, +7.75196288e+00, +7.54637316e-02, +6.70484398e-01, -3.61048427e-01, +3.73359616e-03, +3.46583553e-05, +4.95104727e-03, -4.99468115e-04,
+5.36031940e-02, +1.72391524e+01, +1.49365313e+01, +1.43474073e+01, +1.19074897e+01, +5.94024803e-01, +5.85982108e-01, +1.20603751e+01, +1.11035810e+01, +1.37670208e+01, +9.73588559e+00, +1.08343818e+00, +3.60099546e-01, +1.34798337e+00, +1.34453125e+00, +2.78003808e-04, +2.67008068e-02, +3.37349710e-04, +2.42549136e-03, -1.40342870e-03, +8.21811236e+00, +1.03831238e-01, +7.46530272e-01, -4.31954542e-01, +3.37861584e-03, +3.55530092e-05, +4.71618963e-03, -5.79146754e-04,
