"y", "y+", "Y+ch", "Y+hw", "Y+tl", "<u>", "<u>_f", "u+", "U+vd", "U+vs", "U+tl", "<rho>", "<P>", "<T>", "<T>_f", "mu", "<u''u''>_f", "<v''v''>_f", "<w''w''>_f", "<u''v''>_f", "<rho*u''u''>/tau_w", "<rho*v''v''>/tau_w", "<rho*w''w''>/tau_w", "<rho*u''v''>/tau_w", "<rho'rho'>", "<P'P'>", "<T''T''>_f", "<T''v''>_f",
+0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +1.45694177e+00, +3.60156006e-01, +1.00000000e+00, +1.00000000e+00, +1.00000000e-04, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00,
+1.39645310e-03, +9.25921635e-01, +9.14424096e-01, +9.13167098e-01, +8.90401911e-01, +4.21437248e-02, +4.19538285e-02, +9.26034646e-01, +9.19612055e-01, +9.37826435e-01, +9.01850025e-01, +1.41680313e+00, +3.62118908e-01, +1.03409969e+00, +1.03393498e+00, +1.02546727e-04, +2.97236256e-04, +1.16983408e-07, +7.23075319e-05, -1.62273130e-06, +1.39558962e-01, +5.49262840e-05, +3.39499772e-02, -7.61908050e-04, +9.09426383e-04, +4.22585265e-05, +1.98127125e-04, -1.19414629e-06,
+4.23185260e-03, +2.80594019e+00, +2.71030213e+00, +2.69260340e+00, +2.51804839e+00, +1.22807728e-01, +1.21411886e-01, +2.69848504e+00, +2.64383502e+00, +2.79412699e+00, +2.50896238e+00, +1.34118569e+00, +3.62113136e-01, +1.09324357e+00, +1.09221192e+00, +1.06914768e-04, +2.31321391e-03, +2.87005475e-06, +4.04347804e-04, -2.95674720e-05, +1.02813738e+00, +1.27563238e-03, +1.79717530e-01, -1.31416394e-02, +2.14737073e-03, +4.20606700e-05, +1.18732286e-03, -1.92659189e-05,
+7.12473020e-03, +4.72406974e+00, +4.47401226e+00, +4.41937356e+00, +4.00448317e+00, +1.99592036e-01, +1.96573015e-01, +4.38568592e+00, +4.24456268e+00, +4.62959261e+00, +3.93133761e+00, +1.28199852e+00, +3.62096251e-01, +1.14460769e+00, +1.14258380e+00, +1.10660465e-04, +5.60400398e-03, +1.42945396e-05, +8.22854797e-04, -1.13813596e-04, +2.38085200e+00, +6.07301198e-03, +3.49588526e-01, -4.83535216e-02, +3.28871873e-03, +4.22767946e-05, +2.38749380e-03, -6.82968270e-05,
+1.00760789e-02, +6.68096870e+00, +6.21763949e+00, +6.10974194e+00, +5.40293177e+00, +2.71448916e-01, +2.66868930e-01, +5.96461519e+00, +5.71196849e+00, +6.40200580e+00, +5.19794809e+00, +1.23501269e+00, +3.62063148e-01, +1.18877435e+00, +1.18594478e+00, +1.13847780e-04, +9.46016480e-03, +3.95511958e-05, +1.24245463e-03, -2.63057431e-04, +3.87183252e+00, +1.61874142e-02, +5.08508715e-01, -1.07663485e-01, +4.00256321e-03, +4.25219589e-05, +3.43255462e-03, -1.47848078e-04,
+1.30869015e-02, +8.67730197e+00, +7.95093589e+00, +7.77625242e+00, +6.75053829e+00, +3.37304311e-01, +3.31480354e-01, +7.41167232e+00, +7.03405611e+00, +8.06888820e+00, +6.32316181e+00, +1.19745565e+00, +3.62012988e-01, +1.22632781e+00, +1.22297136e+00, +1.16534610e-04, +1.32332264e-02, +8.20177201e-05, +1.64221164e-03, -4.64166649e-04, +5.25135795e+00, +3.25471955e-02, +6.51680918e-01, -1.84195838e-01, +4.31848994e-03, +4.31567891e-05, +4.17964339e-03, -2.47783762e-04,
+1.61582101e-02, +1.07137406e+01, +9.68189563e+00, +9.42890624e+00, +8.07335888e+00, +3.96573278e-01, +3.89895395e-01, +8.71400422e+00, +8.20724547e+00, +9.60119485e+00, +7.31851062e+00, +1.16728081e+00, +3.61944340e-01, +1.25797284e+00, +1.25434795e+00, +1.18782769e-04, +1.65032701e-02, +1.42192461e-04, +2.01815454e-03, -6.94057604e-04, +6.38398403e+00, +5.50045169e-02, +7.80685662e-01, -2.68483315e-01, +4.34919707e-03, +4.38071013e-05, +4.61863741e-03, -3.55173531e-04,
+1.92910258e-02, +1.27909617e+01, +1.14170814e+01, +1.10757732e+01, +9.38948241e+00, +4.49180856e-01, +4.42018089e-01, +9.86996373e+00, +9.23650402e+00, +1.09850987e+01, +8.19534963e+00, +1.14291076e+00, +3.61859359e-01, +1.28448435e+00, +1.28079338e+00, +1.20655357e-04, +1.90822308e-02, +2.20319475e-04, +2.37141550e-03, -9.31716653e-04, +7.22749674e+00, +8.34471770e-02, +8.98186274e-01, -3.52892654e-01, +4.20153779e-03, +4.47732817e-05, +4.80075810e-03, -4.59818204e-04,
+2.24863787e-02, +1.49096483e+01, +1.31618748e+01, +1.27233911e+01, +1.07112180e+01, +4.95440781e-01, +4.88090928e-01, +1.08864447e+01, +1.01328795e+01, +1.22194530e+01, +8.96539741e+00, +1.12310008e+00, +3.61757911e-01, +1.30663886e+00, +1.30302025e+00, +1.22212794e-04, +2.09452478e-02, +3.14582914e-04, +2.70114232e-03, -1.16049585e-03, +7.79561539e+00, +1.17084669e-01, +1.00533862e+00, -4.31925148e-01, +3.95633522e-03, +4.57214291e-05, +4.79384960e-03, -5.54431106e-04,
+2.57453073e-02, +1.70704888e+01, +1.49206899e+01, +1.43770700e+01, +1.20468722e+01, +5.35900409e-01, +5.28588655e-01, +1.17754742e+01, +1.09106072e+01, +1.33117250e+01, +9.64055031e+00, +1.10687821e+00, +3.61643629e-01, +1.32515692e+00, +1.32169904e+00, +1.23509532e-04, +2.21587143e-02, +4.23803676e-04, +3.00701664e-03, -1.37106483e-03, +8.12813366e+00, +1.55457256e-01, +1.10301676e+00, -5.02926208e-01, +3.66643330e-03, +4.69006377e-05, +4.66055931e-03, -6.35672857e-04,
