"y", "y+", "Y+ch", "Y+hw", "Y+tl", "<u>", "<u>_f", "u+", "U+vd", "U+vs", "U+tl", "<rho>", "<P>", "<T>", "<T>_f", "mu", "<u''u''>_f", "<v''v''>_f", "<w''w''>_f", "<u''v''>_f", "<rho*u''u''>/tau_w", "<rho*v''v''>/tau_w", "<rho*w''w''>/tau_w", "<rho*u''v''>/tau_w", "<rho'rho'>", "<P'P'>", "<T''T''>_f", "<T''v''>_f",
+0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +1.07840528e+00, +1.57199138e+00, +1.00000000e+00, +1.00000000e+00, +8.51063830e-05, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00,
+1.34163990e-03, +8.74831611e-01, +8.72818486e-01, +8.72705944e-01, +8.68686902e-01, +4.48994256e-02, +4.48635120e-02, +8.72513503e-01, +8.71452195e-01, +8.74530576e-01, +8.68387981e-01, +1.07316466e+00, +1.57399447e+00, +1.00616954e+00, +1.00616380e+00, +8.54998802e-05, +3.38643890e-04, +3.63688808e-07, +1.25463990e-04, -2.52472475e-06, +1.27259539e-01, +1.36671209e-04, +4.71483169e-02, -9.48770425e-04, +2.63144088e-05, +4.44338965e-05, +6.54390547e-06, -3.23876107e-07,
+4.06414030e-03, +2.65006907e+00, +2.63267331e+00, +2.62974048e+00, +2.59578827e+00, +1.34664430e-01, +1.34343361e-01, +2.61688279e+00, +2.60684879e+00, +2.63417670e+00, +2.58032077e+00, +1.06153041e+00, +1.57398561e+00, +1.01722618e+00, +1.01718554e+00, +8.62035752e-05, +2.95647544e-03, +8.54760504e-06, +6.81826078e-04, -5.39987848e-05, +1.09897409e+00, +3.17729561e-03, +2.53446784e-01, -2.00723011e-02, +6.35549077e-05, +4.44222277e-05, +4.26088375e-05, -6.02021456e-06,
+6.83966250e-03, +4.45988000e+00, +4.41314863e+00, +4.40288269e+00, +4.31734457e+00, +2.21470813e-01, +2.20737932e-01, +4.30375828e+00, +4.27654324e+00, +4.34886709e+00, +4.21139505e+00, +1.05158084e+00, +1.57395239e+00, +1.02687061e+00, +1.02678804e+00, +8.68158307e-05, +7.33415586e-03, +3.92661549e-05, +1.34420995e-03, -2.09361216e-04, +2.70068254e+00, +1.44591172e-02, +4.94983255e-01, -7.70938322e-02, +1.07419489e-04, +4.52683908e-05, +8.59201109e-05, -2.13893924e-05,
+9.66908700e-03, +6.30483855e+00, +6.21642376e+00, +6.19484545e+00, +6.04319105e+00, +3.02063572e-01, +3.00946685e-01, +5.86988680e+00, +5.82001160e+00, +5.95121142e+00, +5.71029068e+00, +1.04327611e+00, +1.57388907e+00, +1.03503500e+00, +1.03491992e+00, +8.73330055e-05, +1.21445623e-02, +9.98538479e-05, +1.96498179e-03, -4.64364787e-04, +4.43671840e+00, +3.64791579e-02, +7.17857974e-01, -1.69644302e-01, +1.40052174e-04, +4.62857415e-05, +1.19918985e-04, -4.43238523e-05,
+1.25533025e-02, +8.18552418e+00, +8.04471592e+00, +8.00835026e+00, +7.78234611e+00, +3.73844091e-01, +3.72457346e-01, +7.26477038e+00, +7.18975317e+00, +7.38607674e+00, +7.03717554e+00, +1.03649004e+00, +1.57379352e+00, +1.04176564e+00, +1.04163248e+00, +8.77585930e-05, +1.62493282e-02, +1.92605037e-04, +2.52095286e-03, -7.70615805e-04, +5.89768104e+00, +6.99058487e-02, +9.14977882e-01, -2.79694408e-01, +1.57159866e-04, +4.79343755e-05, +1.39470407e-04, -6.98560659e-05,
+1.54932059e-02, +1.01025218e+01, +9.90014368e+00, +9.84597078e+00, +9.54205262e+00, +4.35870304e-01, +4.34338508e-01, +8.47010224e+00, +8.36986562e+00, +8.63141066e+00, +8.18032889e+00, +1.03101355e+00, +1.57367025e+00, +1.04722234e+00, +1.04708338e+00, +8.81031229e-05, +1.91826246e-02, +3.13229961e-04, +3.01343438e-03, -1.07759227e-03, +6.92553193e+00, +1.13085886e-01, +1.08794477e+00, -3.89044765e-01, +1.61498031e-04, +4.95645791e-05, +1.46513807e-04, -9.36575892e-05,
+1.84897018e-02, +1.20564211e+01, +1.17846258e+01, +1.17100133e+01, +1.13275925e+01, +4.88503399e-01, +4.86927736e-01, +9.49290122e+00, +9.36886876e+00, +9.69188833e+00, +9.14942954e+00, +1.02660865e+00, +1.57352267e+00, +1.05161395e+00, +1.05147752e+00, +8.83800782e-05, +2.09667180e-02, +4.58658118e-04, +3.44996003e-03, -1.35565716e-03, +7.53730531e+00, +1.64882566e-01, +1.24022282e+00, -4.87343890e-01, +1.57539361e-04, +5.15480619e-05, +1.45076275e-04, -1.13650477e-04,
+2.15437022e-02, +1.40478169e+01, +1.36998481e+01, +1.36024795e+01, +1.31426223e+01, +5.32803298e-01, +5.31251438e-01, +1.03537644e+01, +1.02080760e+01, +1.05869917e+01, +9.96525897e+00, +1.02305472e+00, +1.57335753e+00, +1.05514868e+00, +1.05501945e+00, +8.86027852e-05, +2.18313102e-02, +6.21797715e-04, +3.83158962e-03, -1.59120494e-03, +7.82094801e+00, +2.22755646e-01, +1.37264612e+00, -5.70040507e-01, +1.49072320e-04, +5.33308688e-05, +1.38760135e-04, -1.29081399e-04,
+2.46561267e-02, +1.60773088e+01, +1.56472766e+01, +1.55250857e+01, +1.49896228e+01, +5.70053865e-01, +5.68567422e-01, +1.10776405e+01, +1.09126322e+01, +1.13413723e+01, +1.06518059e+01, +1.02016475e+00, +1.57317967e+00, +1.05800830e+00, +1.05788855e+00, +8.87828201e-05, +2.20339473e-02, +7.98289928e-04, +4.16131772e-03, -1.78446509e-03, +7.87124366e+00, +2.85175164e-01, +1.48655823e+00, -6.37469053e-01, +1.38582798e-04, +5.52222681e-05, +1.30064983e-04, -1.40367473e-04,
