"y", "y+", "Y+ch", "Y+hw", "Y+tl", "<u>", "<u>_f", "u+", "U+vd", "U+vs", "U+tl", "<rho>", "<P>", "<T>", "<T>_f", "mu", "<u''u''>_f", "<v''v''>_f", "<w''w''>_f", "<u''v''>_f", "<rho*u''u''>/tau_w", "<rho*v''v''>/tau_w", "<rho*w''w''>/tau_w", "<rho*u''v''>/tau_w", "<rho'rho'>", "<P'P'>", "<T''T''>_f", "<T''v''>_f",
+0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +2.38526120e+00, +1.89306255e-01, +1.00000000e+00, +1.00000000e+00, +1.33333300e-04, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00,
+1.34163990e-03, +8.71918117e-01, +8.48268125e-01, +8.44470656e-01, +7.98237677e-01, +3.06613904e-02, +3.03781500e-02, +8.44013563e-01, +8.30513094e-01, +8.68219815e-01, +7.94851895e-01, +2.23508801e+00, +1.90951756e-01, +1.07720186e+00, +1.07646525e+00, +1.40981280e-04, +1.44482184e-04, +8.54841760e-08, +1.73543533e-05, -4.38362000e-07, +1.02586011e-01, +6.06959306e-05, +1.23220305e-02, -3.11248125e-04, +7.83704216e-03, +3.74705942e-05, +9.47703871e-04, -1.08886105e-06,
+4.06414030e-03, +2.64124342e+00, +2.45095933e+00, +2.41264428e+00, +2.09057307e+00, +8.78235290e-02, +8.59269752e-02, +2.41751103e+00, +2.31126129e+00, +2.60869836e+00, +2.06611729e+00, +1.99308156e+00, +1.90948659e-01, +1.21166769e+00, +1.20715370e+00, +1.53984238e-04, +1.06172825e-03, +7.08990922e-07, +1.09445158e-04, -6.07740765e-06, +6.72229644e-01, +4.48895199e-04, +6.92948310e-02, -3.84789006e-03, +1.73962326e-02, +3.71110696e-05, +5.84883072e-03, -1.28556950e-05,
+6.83966250e-03, +4.44502705e+00, +3.96051204e+00, +3.85531267e+00, +3.13884672e+00, +1.40971228e-01, +1.37006036e-01, +3.88050336e+00, +3.61931132e+00, +4.35894924e+00, +3.08328023e+00, +1.82238820e+00, +1.90944228e-01, +1.32905325e+00, +1.32019082e+00, +1.65042352e-04, +2.53277161e-03, +2.17160085e-06, +2.39286583e-04, -2.23895321e-05, +1.46627740e+00, +1.25718768e-03, +1.38528286e-01, -1.29617944e-02, +2.39464103e-02, +3.67444011e-05, +1.22851184e-02, -4.37018264e-05,
+9.66908700e-03, +6.28384124e+00, +5.40526066e+00, +5.21071471e+00, +4.04327082e+00, +1.90915132e-01, +1.84857412e-01, +5.25530508e+00, +4.79944934e+00, +6.11013325e+00, +3.94460327e+00, +1.69399527e+00, +1.90936511e-01, +1.43298182e+00, +1.42019472e+00, +1.74630109e-04, +4.36843978e-03, +5.09797486e-06, +3.84099499e-04, -5.35235505e-05, +2.35081126e+00, +2.74339977e-03, +2.06697465e-01, -2.88029071e-02, +2.71723755e-02, +3.62626429e-05, +1.88773891e-02, -9.86504098e-05,
+1.25533025e-02, +8.15826354e+00, +6.80351206e+00, +6.50238519e+00, +4.85697625e+00, +2.38099825e-01, +2.30098691e-01, +6.55415421e+00, +5.87752685e+00, +7.85226686e+00, +4.70088087e+00, +1.59338717e+00, +1.90927180e-01, +1.52580583e+00, +1.50979357e+00, +1.83047189e-04, +6.43903911e-03, +1.01682825e-05, +5.34414094e-04, -1.01454563e-04, +3.25927942e+00, +5.14692849e-03, +2.70506954e-01, -5.13537447e-02, +2.82408191e-02, +3.58679924e-05, +2.49893311e-02, -1.78534940e-04,
+1.54932059e-02, +1.00688768e+01, +8.16802224e+00, +7.74623456e+00, +5.61170926e+00, +2.82762406e-01, +2.73039525e-01, +7.78357741e+00, +6.86941319e+00, +9.57441302e+00, +5.38116533e+00, +1.51232308e+00, +1.90913799e-01, +1.60911446e+00, +1.59061066e+00, +1.90492908e-04, +8.63973346e-03, +1.79318884e-05, +6.86169995e-04, -1.66253589e-04, +4.15072672e+00, +8.61489171e-03, +3.29651852e-01, -7.98720491e-02, +2.80286704e-02, +3.54407185e-05, +3.03093278e-02, -2.81051948e-04,
+1.84897018e-02, +1.20162690e+01, +9.50819571e+00, +8.95374200e+00, +6.32805596e+00, +3.25035602e-01, +3.13846894e-01, +8.94722818e+00, +7.78566177e+00, +1.12657949e+01, +6.00333885e+00, +1.44570527e+00, +1.90898314e-01, +1.68407599e+00, +1.66377078e+00, +1.97110550e-04, +1.08827915e-02, +2.88851574e-05, +8.37857257e-04, -2.46904408e-04, +4.99803494e+00, +1.32658083e-02, +3.84794641e-01, -1.13393412e-01, +2.70816611e-02, +3.51240119e-05, +3.47036707e-02, -4.02542891e-04,
+2.15437022e-02, +1.40010328e+01, +1.08312599e+01, +1.01335804e+01, +7.02003689e+00, +3.65003407e-01, +3.52609475e-01, +1.00474187e+01, +8.63387273e+00, +1.29165789e+01, +6.57887888e+00, +1.39012119e+00, +1.90878189e-01, +1.75161538e+00, +1.73011442e+00, +2.03010110e-04, +1.30940096e-02, +4.33815951e-05, +9.88942415e-04, -3.41325369e-04, +5.78235212e+00, +1.91574365e-02, +4.36719800e-01, -1.50730259e-01, +2.57362220e-02, +3.48120924e-05, +3.81424364e-02, -5.38209856e-04,
+2.46561267e-02, +1.60237658e+01, +1.21429462e+01, +1.12925306e+01, +7.69766655e+00, +4.02729877e-01, +3.89387154e-01, +1.10859121e+01, +9.41992397e+00, +1.45182878e+01, +7.11546255e+00, +1.34320934e+00, +1.90855646e-01, +1.81250494e+00, +1.79032761e+00, +2.08280207e-04, +1.52137794e-02, +6.17595792e-05, +1.13930583e-03, -4.47098681e-04, +6.49172380e+00, +2.63528291e-02, +4.86142106e-01, -1.90777128e-01, +2.41935301e-02, +3.46117320e-05, +4.06630554e-02, -6.83308216e-04,
+2.78279016e-02, +1.80850700e+01, +1.34479126e+01, +1.24360340e+01, +8.36819024e+00, +4.38274627e-01, +4.24221446e-01, +1.20643495e+01, +1.01486568e+01, +1.60640057e+01, +7.61827063e+00, +1.30322613e+00, +1.90828030e-01, +1.86741480e+00, +1.84498825e+00, +2.12994896e-04, +1.71947437e-02, +8.42161975e-05, +1.28878346e-03, -5.61380240e-04, +7.11860186e+00, +3.48653977e-02, +5.33554699e-01, -2.32410699e-01, +2.25786511e-02, +3.44310145e-05, +4.23405688e-02, -8.33011789e-04,
+3.10599602e-02, +2.01855520e+01, +1.47500190e+01, +1.35685486e+01, +9.03708900e+00, +4.71700375e-01, +4.57156806e-01, +1.29844573e+01, +1.08242596e+01, +1.75484129e+01, +8.09098030e+00, +1.26889118e+00, +1.90797812e-01, +1.91693959e+00, +1.89461185e+00, +2.17217553e-04, +1.90025181e-02, +1.10968590e-04, +1.43712693e-03, -6.81487508e-04, +7.65975270e+00, +4.47304906e-02, +5.79293587e-01, -2.74701793e-01, +2.09655618e-02, +3.43533206e-05, +4.32727632e-02, -9.83216019e-04,
+3.43532421e-02, +2.23258224e+01, +1.60525154e+01, +1.46937871e+01, +9.70841713e+00, +5.03076763e-01, +4.88237404e-01, +1.38481525e+01, +1.14504998e+01, +1.89677483e+01, +8.53617630e+00, +1.23919177e+00, +1.90762239e-01, +1.96161518e+00, +1.93965793e+00, +2.21003400e-04, +2.06129991e-02, +1.42086387e-04, +1.58386952e-03, -8.04704242e-04, +8.11444687e+00, +5.59332697e-02, +6.23500975e-01, -3.16777281e-01, +1.94000567e-02, +3.42988905e-05, +4.35649748e-02, -1.13018651e-03,
+3.77086930e-02, +2.45064958e+01, +1.73581752e+01, +1.58148845e+01, +1.03853806e+01, +5.32481150e-01, +5.17518479e-01, +1.46575647e+01, +1.20308498e+01, +2.03196826e+01, +8.95586784e+00, +1.21336272e+00, +1.90724016e-01, +2.00192706e+00, +1.98055091e+00, +2.24400995e-04, +2.20123709e-02, +1.77682343e-04, +1.72845479e-03, -9.28732522e-04, +8.48470381e+00, +6.84879453e-02, +6.66235683e-01, -3.57981446e-01, +1.79073848e-02, +3.43355215e-05, +4.33237290e-02, -1.27110536e-03,
+4.11272642e-02, +2.67281905e+01, +1.86693915e+01, +1.69345180e+01, +1.10703354e+01, +5.59998482e-01, +5.45059124e-01, +1.54150320e+01, +1.25685682e+01, +2.16031763e+01, +9.35157260e+00, +1.19076441e+00, +1.90680340e-01, +2.03831683e+00, +2.01767571e+00, +2.27453360e-04, +2.31945280e-02, +2.17710321e-04, +1.87021168e-03, -1.05142791e-03, +8.77385800e+00, +8.23538827e-02, +7.07450122e-01, -3.97726530e-01, +1.65020674e-02, +3.43937836e-05, +4.26493681e-02, -1.40360359e-03,
+4.46099127e-02, +2.89915283e+01, +1.99882501e+01, +1.80549965e+01, +1.17652398e+01, +5.85719815e-01, +5.70929283e-01, +1.61230610e+01, +1.30667344e+01, +2.28182926e+01, +9.72464531e+00, +1.17091039e+00, +1.90634130e-01, +2.07118537e+00, +2.05139035e+00, +2.30198672e-04, +2.41606695e-02, +2.62179815e-04, +2.00852223e-03, -1.17114969e-03, +8.98693997e+00, +9.75218945e-02, +7.47101348e-01, -4.35627496e-01, +1.51897808e-02, +3.45303163e-05, +4.16340569e-02, -1.52616581e-03,
+4.81576000e-02, +3.12971341e+01, +2.13165846e+01, +1.91783287e+01, +1.24714816e+01, +6.09740921e-01, +5.95201656e-01, +1.67842880e+01, +1.35282741e+01, +2.39660248e+01, +1.00762130e+01, +1.15337300e+00, +1.90582579e-01, +2.10089644e+00, +2.08201927e+00, +2.32670899e-04, +2.49171708e-02, +3.10934235e-04, +2.14279013e-03, -1.28645263e-03, +9.12951541e+00, +1.13924607e-01, +7.85106609e-01, -4.71349222e-01, +1.39723931e-02, +3.46843649e-05, +4.03590249e-02, -1.63761898e-03,
+5.17712926e-02, +3.36456362e+01, +2.26560199e+01, +2.03062757e+01, +1.31903038e+01, +6.32160296e-01, +6.17956767e-01, +1.74014243e+01, +1.39559625e+01, +2.50481067e+01, +1.04074133e+01, +1.13783067e+00, +1.90528787e-01, +2.12777866e+00, +2.10986323e+00, +2.34900218e-04, +2.54749855e-02, +3.63881010e-04, +2.27254732e-03, -1.39637425e-03, +9.20811631e+00, +1.31527402e-01, +8.21428538e-01, -5.04729495e-01, +1.28477082e-02, +3.49038319e-05, +3.88947999e-02, -1.73747983e-03,
+5.54519609e-02, +3.60376651e+01, +2.40080066e+01, +2.14403926e+01, +1.39225231e+01, +6.53077584e-01, +6.39275116e-01, +1.79772127e+01, +1.43524291e+01, +2.60668502e+01, +1.07192588e+01, +1.12398564e+00, +1.90469974e-01, +2.15212853e+00, +2.13519284e+00, +2.36913460e-04, +2.58480662e-02, +4.20763966e-04, +2.39737699e-03, -1.50010804e-03, +9.22928453e+00, +1.50237559e-01, +8.56005018e-01, -5.35627069e-01, +1.18126790e-02, +3.51353331e-05, +3.73009841e-02, -1.82544935e-03,
