"y", "y+", "Y+ch", "Y+hw", "Y+tl", "<u>", "<u>_f", "u+", "U+vd", "U+vs", "U+tl", "<rho>", "<P>", "<T>", "<T>_f", "mu", "<u''u''>_f", "<v''v''>_f", "<w''w''>_f", "<u''v''>_f", "<rho*u''u''>/tau_w", "<rho*v''v''>/tau_w", "<rho*w''w''>/tau_w", "<rho*u''v''>/tau_w", "<rho'rho'>", "<P'P'>", "<T''T''>_f", "<T''v''>_f",
+0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +1.07808328e+00, +1.57152200e+00, +1.00000000e+00, +1.00000000e+00, +1.33333000e-04, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00,
+1.95577950e-03, +8.55484796e-01, +8.53461826e-01, +8.53338226e-01, +8.49299751e-01, +4.61543368e-02, +4.61175480e-02, +8.53168417e-01, +8.52096692e-01, +8.55195497e-01, +8.49012543e-01, +1.07267306e+00, +1.57354131e+00, +1.00634086e+00, +1.00633510e+00, +1.33966583e-04, +3.39159861e-04, +3.09930742e-07, +1.15438018e-04, -2.36525891e-06, +1.15309216e-01, +1.05371758e-04, +3.92471779e-02, -8.04152208e-04, +2.55253412e-05, +4.28528780e-05, +6.62093746e-06, -3.06621572e-07,
+5.95073710e-03, +2.60293408e+00, +2.58532186e+00, +2.58229372e+00, +2.54797689e+00, +1.38970842e-01, +1.38642996e-01, +2.56889257e+00, +2.55871093e+00, +2.58639462e+00, +2.53189308e+00, +1.06067414e+00, +1.57353326e+00, +1.01775527e+00, +1.01771414e+00, +1.35104610e-04, +3.00224941e-03, +7.65917449e-06, +6.39654441e-04, -5.17820097e-05, +1.00930157e+00, +2.57487495e-03, +2.15040171e-01, -1.74081684e-02, +6.30644340e-05, +4.28163930e-05, +4.33234517e-05, -5.76981921e-06,
+1.00591428e-02, +4.40000712e+00, +4.35233515e+00, +4.34174345e+00, +4.25470361e+00, +2.29786670e-01, +2.29030099e-01, +4.24763399e+00, +4.21978146e+00, +4.29371721e+00, +4.15338147e+00, +1.05035118e+00, +1.57350220e+00, +1.02778017e+00, +1.02769608e+00, +1.36101473e-04, +7.59793453e-03, +3.63759036e-05, +1.27652586e-03, -2.07164929e-04, +2.52942770e+00, +1.21098988e-02, +4.24968109e-01, -6.89672579e-02, +1.07735201e-04, +4.36414283e-05, +8.78469776e-05, -2.08990002e-05,
+1.42837295e-02, +6.24789933e+00, +6.15704040e+00, +6.13467873e+00, +5.97939804e+00, +3.15266423e-01, +3.14101977e-01, +5.82773740e+00, +5.77620779e+00, +5.91164837e+00, +5.66344621e+00, +1.04169028e+00, +1.57344101e+00, +1.03631778e+00, +1.03620036e+00, +1.36948525e-04, +1.28239664e-02, +9.49141205e-05, +1.88222694e-03, -4.72067793e-04, +4.23402266e+00, +3.13373044e-02, +6.21445137e-01, -1.55860182e-01, +1.40941481e-04, +4.46628651e-05, +1.22824518e-04, -4.39938130e-05,
+1.86272656e-02, +8.14782163e+00, +8.00210144e+00, +7.96420846e+00, +7.73154228e+00, +3.92442548e-01, +3.90987439e-01, +7.25434727e+00, +7.17613806e+00, +7.38068677e+00, +7.01822117e+00, +1.03458981e+00, +1.57334638e+00, +1.04338462e+00, +1.04324914e+00, +1.37648338e-04, +1.74267628e-02, +1.86967606e-04, +2.43049307e-03, -8.00625936e-04, +5.71448522e+00, +6.13093568e-02, +7.96993503e-01, -2.62536716e-01, +1.57827945e-04, +4.63493444e-05, +1.42442147e-04, -7.01344202e-05,
+2.30925537e-02, +1.01009999e+01, +9.89016439e+00, +9.83339377e+00, +9.51909937e+00, +4.59901575e-01, +4.58290817e-01, +8.50133542e+00, +8.39601816e+00, +8.67068641e+00, +8.19883432e+00, +1.02885462e+00, +1.57322139e+00, +1.04912157e+00, +1.04898123e+00, +1.38215583e-04, +2.07979424e-02, +3.09505155e-04, +2.91939277e-03, -1.13800737e-03, +6.78213736e+00, +1.00928564e-01, +9.52003923e-01, -3.71100282e-01, +1.61108996e-04, +4.80674960e-05, +1.48545091e-04, -9.47133967e-05,
+2.76824293e-02, +1.21086745e+01, +1.18237364e+01, +1.17451029e+01, +1.13481582e+01, +5.17638703e-01, +5.15984956e-01, +9.56861312e+00, +9.43747532e+00, +9.77886967e+00, +9.20842643e+00, +1.02424868e+00, +1.57306893e+00, +1.05373249e+00, +1.05359627e+00, +1.38670929e-04, +2.28787521e-02, +4.60149476e-04, +3.35385041e-03, -1.44849491e-03, +7.42728256e+00, +1.49381407e-01, +1.08878292e+00, -4.70234604e-01, +1.55560956e-04, +5.01713753e-05, +1.45478486e-04, -1.15329190e-04,
+3.23997584e-02, +1.41720990e+01, +1.38051294e+01, +1.37019449e+01, +1.32231589e+01, +5.66515010e-01, +5.64895011e-01, +1.04720975e+01, +1.03173160e+01, +1.07197607e+01, +1.00633990e+01, +1.02054493e+00, +1.57289538e+00, +1.05743049e+00, +1.05730331e+00, +1.39035761e-04, +2.38822434e-02, +6.31991687e-04, +3.73415052e-03, -1.71369894e-03, +7.72501708e+00, +2.04425794e-01, +1.20785875e+00, -5.54317840e-01, +1.45318249e-04, +5.21060957e-05, +1.37250531e-04, -1.31036211e-04,
+3.72474360e-02, +1.62925397e+01, +1.58364561e+01, +1.57062673e+01, +1.51473098e+01, +6.07753585e-01, +6.06214554e-01, +1.12343975e+01, +1.10584496e+01, +1.15155036e+01, +1.07854797e+01, +1.01754690e+00, +1.57270602e+00, +1.06040670e+00, +1.06029080e+00, +1.39329152e-04, +2.40872191e-02, +8.20421088e-04, +4.06349162e-03, -1.93144822e-03, +7.76843076e+00, +2.64596107e-01, +1.31052709e+00, -6.22916313e-01, +1.33131038e-04, +5.41372931e-05, +1.26669025e-04, -1.42189875e-04,
