"y", "y+", "Y+ch", "Y+hw", "Y+tl", "<u>", "<u>_f", "u+", "U+vd", "U+vs", "U+tl", "<rho>", "<P>", "<T>", "<T>_f", "mu", "<u''u''>_f", "<v''v''>_f", "<w''w''>_f", "<u''v''>_f", "<rho*u''u''>/tau_w", "<rho*v''v''>/tau_w", "<rho*w''w''>/tau_w", "<rho*u''v''>/tau_w", "<rho'rho'>", "<P'P'>", "<T''T''>_f", "<T''v''>_f",
+0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +2.40978371e+00, +1.91252484e-01, +1.00000000e+00, +1.00000000e+00, +6.66666667e-05, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00, +0.00000000e+00,
+7.13925400e-04, +8.79898727e-01, +8.57152951e-01, +8.54093975e-01, +8.09566800e-01, +2.90804049e-02, +2.88229711e-02, +8.52883899e-01, +8.40188685e-01, +8.76133348e-01, +8.06102394e-01, +2.26844046e+00, +1.93117785e-01, +1.07334552e+00, +1.07266938e+00, +7.03013073e-05, +1.37820749e-04, +7.17806344e-08, +2.27765895e-05, -4.68089180e-07, +1.11594518e-01, +5.81213304e-05, +1.84423792e-02, -3.79015401e-04, +8.59827800e-03, +4.44370468e-05, +8.87396360e-04, -1.08738162e-06,
+2.15287480e-03, +2.65337498e+00, +2.47095904e+00, +2.43696350e+00, +2.12436076e+00, +8.31604679e-02, +8.13867044e-02, +2.43896962e+00, +2.33805793e+00, +2.62224492e+00, +2.10060913e+00, +2.03313751e+00, +1.93114630e-01, +1.20102750e+00, +1.19679424e+00, +7.64845023e-05, +1.00816833e-03, +6.72146944e-07, +1.41763380e-04, -6.70848735e-06, +7.31645444e-01, +4.87788831e-04, +1.02880172e-01, -4.86846697e-03, +1.78715110e-02, +4.41190035e-05, +5.48571230e-03, -1.39111130e-05,
+3.60673180e-03, +4.44522456e+00, +3.98265318e+00, +3.88669837e+00, +3.19079955e+00, +1.33135467e-01, +1.29411650e-01, +3.90466007e+00, +3.65612119e+00, +4.36147905e+00, +3.13573326e+00, +1.86623833e+00, +1.93109643e-01, +1.31215445e+00, +1.30379107e+00, +8.17330007e-05, +2.38492267e-03, +2.32449028e-06, +3.06655071e-04, -2.45355427e-05, +1.58870139e+00, +1.54844473e-03, +2.04276367e-01, -1.63441991e-02, +2.45540342e-02, +4.38412128e-05, +1.15180923e-02, -4.77889139e-05,
+5.07562890e-03, +6.25561075e+00, +5.42048788e+00, +5.24144459e+00, +4.10813204e+00, +1.79722369e-01, +1.74033244e-01, +5.27098283e+00, +4.83788442e+00, +6.08307988e+00, +4.00807772e+00, +1.74033508e+00, +1.93100694e-01, +1.41016631e+00, +1.39804829e+00, +8.62703320e-05, +4.07109156e-03, +5.83581492e-06, +4.87592843e-04, -5.77463107e-05, +2.52897545e+00, +3.62522740e-03, +3.02894276e-01, -3.58721979e-02, +2.80598028e-02, +4.34689358e-05, +1.76940254e-02, -1.07445523e-04,
+6.55969920e-03, +8.08469761e+00, +6.80285387e+00, +6.52490874e+00, +4.92959054e+00, +2.23314626e-01, +2.15813079e-01, +6.54947721e+00, +5.90873084e+00, +7.77558429e+00, +4.76819588e+00, +1.64153931e+00, +1.93089409e-01, +1.49733656e+00, +1.48210316e+00, +9.02398337e-05, +5.93056859e-03, +1.19736371e-05, +6.72763164e-04, -1.07442211e-04, +3.47494944e+00, +7.01581696e-03, +3.94197950e-01, -6.29545458e-02, +2.94352862e-02, +4.32110102e-05, +2.34306046e-02, -1.92788579e-04,
+8.05907650e-03, +9.93265004e+00, +8.14259051e+00, +7.75318784e+00, +5.68709165e+00, +2.64140022e-01, +2.55044651e-01, +7.74682378e+00, +6.88481988e+00, +9.42772994e+00, +5.44543310e+00, +1.56188403e+00, +1.93073349e-01, +1.57524120e+00, +1.55756025e+00, +9.37387176e-05, +7.85938037e-03, +2.12734676e-05, +8.57389541e-04, -1.72693925e-04, +4.38165280e+00, +1.18600888e-02, +4.77999931e-01, -9.62779232e-02, +2.95161533e-02, +4.29206897e-05, +2.84571941e-02, -3.00584191e-04,
+9.57389500e-03, +1.17996334e+01, +9.44913429e+00, +8.93789354e+00, +6.40126802e+00, +3.02352031e-01, +2.91907560e-01, +8.86752368e+00, +7.77750738e+00, +1.10295757e+01, +6.05818649e+00, +1.49640186e+00, +1.93054665e-01, +1.64506665e+00, +1.62556147e+00, +9.68381166e-05, +9.77832467e-03, +3.41735634e-05, +1.03979901e-03, -2.51593673e-04, +5.22292228e+00, +1.82532153e-02, +5.55390582e-01, -1.34384391e-01, +2.88358885e-02, +4.27545428e-05, +3.26704053e-02, -4.26426898e-04,
+1.11042900e-02, +1.36858146e+01, +1.07296841e+01, +1.00877633e+01, +7.08604625e+00, +3.38075596e-01, +3.26523316e-01, +9.91524132e+00, +8.59551641e+00, +1.25731112e+01, +6.61856720e+00, +1.44174385e+00, +1.93030819e-01, +1.70776836e+00, +1.68697986e+00, +9.95933708e-05, +1.16275553e-02, +5.09000841e-05, +1.21939839e-03, -3.41456418e-04, +5.98380444e+00, +2.61943411e-02, +6.27530150e-01, -1.75721240e-01, +2.77290120e-02, +4.25816385e-05, +3.60585203e-02, -5.65102216e-04,
+1.26503971e-02, +1.55913605e+01, +1.19898857e+01, +1.12095776e+01, +7.75124545e+00, +3.71427391e-01, +3.58998031e-01, +1.08933986e+01, +9.34600669e+00, +1.40523985e+01, +7.13496550e+00, +1.39558435e+00, +1.93004393e-01, +1.76414966e+00, +1.74253886e+00, +1.02049358e-04, +1.33651150e-02, +7.16624398e-05, +1.39603060e-03, -4.39576917e-04, +6.65778335e+00, +3.56983834e-02, +6.95427561e-01, -2.18973641e-01, +2.63973728e-02, +4.25265222e-05, +3.86654589e-02, -7.11764188e-04,
