"log y^+",             "u^+",
1.69396561899, 13.4675356040,
1.98390625936, 15.9854261128,
2.11038639141, 16.9231593340,
2.28964738311, 17.7775820712,
2.37937593402, 18.3037201000,
2.68521511283, 20.1948027187,
2.86475392720, 21.3295176599,
2.98130598445, 22.2509265295,
3.08122409031, 23.0571933373,
3.16416505209, 23.4020747724,
3.28804400130, 25.0488368672,
3.38171382086, 26.2179437128,
3.43511569589, 26.7611687437,
3.46856336627, 27.1728184111,
3.49528881755, 27.4691625916,
3.53187697359, 27.7158800169,
3.57425671115, 28.0109781646
3.61468456308, 28.0292751056
