"y",     "u",
0.0030, 3.10,
0.0050, 3.33,
0.0080, 3.55,
0.0110, 3.63,
0.0150, 3.78,
0.0200, 3.89,
0.0250, 3.96,
0.0300, 4.10,
0.0400, 4.32,
0.0500, 4.57,
0.0605, 4.77,
0.0710, 4.88,
0.0810, 4.87,
0.0910, 4.79,
0.0960, 4.73,
0.1010, 4.64,
0.1060, 4.62,
0.1100, 4.56,
0.1130, 4.58,
0.1160, 4.72,
0.1180, 5.02,
