"y",     "u",
0.0030, 2.79,
0.0050, 3.01,
0.0080, 3.19,
0.0110, 3.38,
0.0150, 3.54,
0.0200, 3.69,
0.0250, 3.81,
0.0300, 3.93,
0.0400, 4.11,
0.0500, 4.28,
0.0600, 4.45,
0.0700, 4.61,
0.0800, 4.80,
0.0900, 5.02,
0.0950, 5.13,
0.1000, 5.27,
0.1050, 5.39,
0.1090, 5.57,
0.1120, 5.72,
0.1150, 5.86,
